p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1186931716,0.0868413435,0.0648924786,0.0444274838,0.0810960942,0.0971363608,0.142914372,0.1919486767,0.1720500188,0.02376398335982997,0.0237498
0.1078992863,0.0833770229,0.0636353606,0.0464753342,0.0819561733,0.0962681961,0.1323601631,0.1876520146,0.2003764488,0.023750242323501817,0.0237498
0.105291618,0.082110155,0.0625053774,0.0461786761,0.0823938586,0.0963242336,0.1320629332,0.1896333922,0.2034997559,0.023750086707012494,0.0237498
0.1189029386,0.0785847022,0.0661342762,0.0421008342,0.079205314,0.0961065144,0.1408657678,0.1837012759,0.1943983766,0.023771341430321242,0.0237498
0.1145484432,0.0929819574,0.0682443672,0.0442882457,0.083162469,0.0998877814,0.1415099704,0.1640793695,0.1912973963,0.023762546513335408,0.0237498
0.1048997078,0.0867925142,0.069961664,0.0448576151,0.089197123,0.0971214584,0.1367937676,0.1887630317,0.1816131181,0.023783014025529618,0.0237498
0.1233655023,0.0882119003,0.0669319483,0.0468363868,0.0767923602,0.0965726019,0.1357267818,0.1725928674,0.192969651,0.02375879876458075,0.0237498
0.1151625629,0.0988742505,0.0701387776,0.0511359417,0.083014807,0.0975440285,0.130263805,0.1710184904,0.1828473363,0.02377141129667191,0.0237498
0.1181092206,0.0828899777,0.0669840469,0.0440179823,0.0800136736,0.096411523,0.138616196,0.1810099391,0.1919474408,0.02375924680583206,0.0237498
0.1059364848,0.0832112894,0.0666305739,0.0428708209,0.0733279429,0.0958440264,0.1321176502,0.1898872757,0.2101739359,0.023751688922030632,0.0237498
0.1187682398,0.0879445831,0.0694103518,0.0428959764,0.0852843675,0.1075829378,0.1316530308,0.1755147593,0.1809457535,0.023779017960815302,0.0237498
0.1134753648,0.0869579479,0.0670577098,0.0469510326,0.0771251067,0.0918574233,0.1366941085,0.1818738824,0.1980074239,0.023756125489321604,0.0237498
0.1087493111,0.0851404793,0.0611951681,0.0423531536,0.077877956,0.090799899,0.134318601,0.1869366004,0.2126288314,0.023751520384691815,0.0237498
0.1081243513,0.0869481446,0.0687856944,0.0457604524,0.0773794063,0.0943061595,0.1247671153,0.1673663277,0.2265623484,0.023749710942274946,0.0237498
0.1069040725,0.0869604816,0.0692351804,0.0459143448,0.0769500685,0.0939791424,0.1226714963,0.1645280042,0.2328572093,0.023751573251785955,0.0237498
0.1092801707,0.0801928053,0.0632418289,0.0443670336,0.0788169329,0.0954727254,0.1369001013,0.1738417585,0.2178866435,0.023740732449774534,0.0237498
0.1085321512,0.0788335032,0.0624800964,0.0442085438,0.0787628187,0.0954458621,0.1376724678,0.1728692903,0.2211952665,0.023740124622600913,0.0237498
0.1095104356,0.0768477052,0.0639003239,0.0458144277,0.0741942164,0.0905342585,0.1249020781,0.1935779614,0.2207185932,0.02375998392294539,0.0237498
0.1060068786,0.0784678197,0.0585159037,0.0434862002,0.0715285449,0.0899861121,0.1407366051,0.1940944123,0.2171775235,0.02374938622523864,0.0237498
0.1121801364,0.0907141633,0.0652231919,0.0436019247,0.0804250085,0.0979566643,0.1450431772,0.1696663133,0.1951894204,0.023755610078520874,0.0237498
0.1022523482,0.0860703561,0.0617342204,0.0453542656,0.074566967,0.092259824,0.1322992495,0.1802839136,0.2251788556,0.023746991074168673,0.0237498
0.0925396254,0.0803568954,0.0606724349,0.0422537105,0.0772712178,0.0911779676,0.1344182784,0.1902429294,0.2310669406,0.023741602962090127,0.0237498
0.0975058063,0.0800775643,0.0590772389,0.0410583691,0.0769755776,0.0956873974,0.1329359619,0.1829860579,0.2336960267,0.02373327729075725,0.0237498
0.0957349003,0.0793146491,0.0581922917,0.0404049599,0.0769589611,0.0961123715,0.1325191423,0.1831094798,0.2376532444,0.023732997784128254,0.0237498
0.0955751132,0.0742222457,0.0594943335,0.0436884912,0.0731013287,0.089410395,0.122406943,0.1974378806,0.244663269,0.023745518035322113,0.0237498
0.099025171,0.0792604318,0.0562763651,0.0446157796,0.0799993968,0.0898251775,0.1325738996,0.1795632307,0.2388605479,0.023756803409976518,0.0237498
0.1044901296,0.0823846747,0.0644636686,0.0432360423,0.0747242437,0.0945838708,0.1322133886,0.1877262582,0.2161777235,0.0237422499250659,0.0237498
0.0951704505,0.076656429,0.0625196445,0.0453493087,0.0746715916,0.0958010915,0.1298565452,0.1827126677,0.2372622715,0.023743163588792176,0.0237498
0.0964468853,0.0785338197,0.0611878563,0.0412677399,0.0683567478,0.0900562672,0.1316650586,0.1784295539,0.2540560712,0.02373531647454429,0.0237498
0.0914764474,0.0721959554,0.0535813239,0.0408418357,0.071615786,0.0912528345,0.1401416335,0.2024382294,0.2364559542,0.0237349319006218,0.0237498
0.0900382088,0.0789418211,0.0623913695,0.0424189323,0.0773333271,0.0957638905,0.1244494728,0.1784241731,0.2502388048,0.023740482570886373,0.0237498
0.0910943234,0.0698596235,0.0593478381,0.0399295752,0.0749274651,0.0942757095,0.1310940823,0.1916948234,0.2477765595,0.023736148768048675,0.0237498
0.0967321228,0.0807918164,0.0615896692,0.0406533884,0.0768913125,0.098433354,0.1434084307,0.1727502047,0.2287497014,0.02373750409007521,0.0237498
0.0974321881,0.0790938796,0.058351668,0.0380980238,0.0757127594,0.0924483558,0.1383792944,0.1858180855,0.2346657455,0.023746844434950076,0.0237498
0.0956562562,0.0771794506,0.0616251657,0.0437930917,0.0748949621,0.0950809469,0.1316855204,0.1833796093,0.2367049972,0.023734893832236176,0.0237498
0.0860672532,0.0721753172,0.0556859025,0.040246256,0.0757141265,0.0937375085,0.136010646,0.1798248738,0.2605381162,0.023726553055759936,0.0237498
0.0839969807,0.0710277408,0.0546992594,0.0399102066,0.0758252312,0.0936426353,0.136437729,0.1789366658,0.2655235513,0.023727106738298292,0.0237498
0.0967104593,0.0723921083,0.0584042862,0.0407900633,0.0727867404,0.0977597894,0.1341371258,0.1749401168,0.2520793106,0.023724275132041256,0.0237498
0.0971798805,0.0714955576,0.0581489794,0.0406253491,0.0722819805,0.0985003917,0.1341054444,0.1732181314,0.2544442854,0.023724680269487375,0.0237498
0.1007711749,0.0723396269,0.0557505173,0.0402516438,0.0716891612,0.0935532399,0.1464698683,0.1861562856,0.2330184821,0.023732390623125092,0.0237498
